FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/assignment_1_rocket.pde  20:13:43 1/24/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 75 Time= 0.004997 Dt= 9.490e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.24e-12 MAX ERR= 2.45e-12 TIME ERR= 6.543e-7 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 76 Time= 0.006184 Dt= 0.001186 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.80e-12 MAX ERR= 1.96e-12 TIME ERR= 1.278e-6 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 77 Time= 0.007666 Dt= 0.001483 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.44e-12 MAX ERR= 1.56e-12 TIME ERR= 2.496e-6 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 78 Time= 0.009520 Dt= 0.001853 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.14e-12 MAX ERR= 1.24e-12 TIME ERR= 4.875e-6 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 79 Time= 0.011837 Dt= 0.002317 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.03e-13 MAX ERR= 9.85e-13 TIME ERR= 9.522e-6 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 80 Time= 0.014733 Dt= 0.002896 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.11e-13 MAX ERR= 7.76e-13 TIME ERR= 1.860e-5 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 81 Time= 0.018353 Dt= 0.003620 Nodes=4 Cells=2 DOF=16 RMS ERR= 5.58e-13 MAX ERR= 6.08e-13 TIME ERR= 3.633e-5 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 82 Time= 0.022878 Dt= 0.004525 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.35e-13 MAX ERR= 4.74e-13 TIME ERR= 7.095e-5 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 83 Time= 0.028534 Dt= 0.005656 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.37e-13 MAX ERR= 3.67e-13 TIME ERR= 1.386e-4 Lanczos/BInv=(13) MEM(KiB)=6156 
 +00:00:00| Step 84 Time= 0.035604 Dt= 0.007070 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.59e-13 MAX ERR= 2.82e-13 TIME ERR= 2.707e-4 Lanczos/BInv=(13) MEM(KiB)=6156 
 +00:00:00| Step 85 Time= 0.044442 Dt= 0.008838 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.97e-13 MAX ERR= 2.15e-13 TIME ERR= 4.622e-4 Lanczos/BInv=(13) MEM(KiB)=6156 
 +00:00:00| Step 86 Time= 0.055489 Dt= 0.011047 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.49e-13 MAX ERR= 1.63e-13 TIME ERR= 6.887e-4 Lanczos/BInv=(13) MEM(KiB)=6156 
 +00:00:00| Step 87 Time= 0.069299 Dt= 0.013809 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.12e-13 MAX ERR= 1.22e-13 TIME ERR= 0.001017 Lanczos/BInv=(13) MEM(KiB)=6156 
 +00:00:00| Step 88 Time= 0.083108 Dt= 0.013809 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.77e-14 MAX ERR= 9.57e-14 TIME ERR= 8.503e-4 Lanczos/BInv=(13) MEM(KiB)=6156 
 +00:00:00| Step 89 Time= 0.096917 Dt= 0.013809 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.13e-14 MAX ERR= 7.77e-14 TIME ERR= 7.448e-4 Lanczos/BInv=(13) MEM(KiB)=6157 
 +00:00:00| Step 90 Time= 0.114179 Dt= 0.017262 Nodes=4 Cells=2 DOF=16 RMS ERR= 5.70e-14 MAX ERR= 6.21e-14 TIME ERR= 0.001105 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 91 Time= 0.131440 Dt= 0.017262 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.70e-14 MAX ERR= 5.12e-14 TIME ERR= 8.938e-4 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 92 Time= 0.148702 Dt= 0.017262 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.98e-14 MAX ERR= 4.32e-14 TIME ERR= 7.923e-4 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 93 Time= 0.170279 Dt= 0.021577 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.34e-14 MAX ERR= 3.59e-14 TIME ERR= 0.001200 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 94 Time= 0.191856 Dt= 0.021577 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.88e-14 MAX ERR= 3.06e-14 TIME ERR= 9.888e-4 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 95 Time= 0.213432 Dt= 0.021577 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.56e-14 MAX ERR= 2.66e-14 TIME ERR= 8.897e-4 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 96 Time= 0.235009 Dt= 0.021577 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.32e-14 MAX ERR= 2.36e-14 TIME ERR= 7.774e-4 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 97 Time= 0.261981 Dt= 0.026971 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.10e-14 MAX ERR= 2.14e-14 TIME ERR= 0.001195 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 98 Time= 0.288952 Dt= 0.026971 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.94e-14 MAX ERR= 2.01e-14 TIME ERR= 0.001003 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 99 Time= 0.315923 Dt= 0.026971 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.81e-14 MAX ERR= 1.90e-14 TIME ERR= 9.191e-4 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 100 Time= 0.342894 Dt= 0.026971 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.70e-14 MAX ERR= 1.80e-14 TIME ERR= 8.157e-4 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 101 Time= 0.376608 Dt= 0.033714 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.59e-14 MAX ERR= 1.69e-14 TIME ERR= 0.001274 Lanczos/BInv=(13) MEM(KiB)=6160 
 +00:00:00| Step 102 Time= 0.410322 Dt= 0.033714 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.49e-14 MAX ERR= 1.59e-14 TIME ERR= 0.001084 Lanczos/BInv=(13) MEM(KiB)=6160 
