FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA-1\assignement 1 rocket.pde  12:06:21 1/22/24
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 0.003000
 +00:00:00| Step 111 Time= 0.021636 Dt= 4.228e-4 Nodes=9 Cells=2 RMS ERR= 1.02e-14 MAX ERR= 1.04e-14 TIME ERR= 2.566e-5 MEM=427
 +00:00:00| Step 112 Time= 0.022058 Dt= 4.228e-4 Nodes=9 Cells=2 RMS ERR= 9.46e-15 MAX ERR= 9.79e-15 TIME ERR= 2.475e-5 MEM=427
 +00:00:00| Step 113 Time= 0.022533 Dt= 4.743e-4 Nodes=9 Cells=2 RMS ERR= 1.59e-14 MAX ERR= 1.63e-14 TIME ERR= 3.231e-5 MEM=427
 +00:00:00| Step 114 Time= 0.023007 Dt= 4.743e-4 Nodes=9 Cells=2 RMS ERR= 1.57e-14 MAX ERR= 1.57e-14 TIME ERR= 3.072e-5 MEM=427
 +00:00:00| Step 115 Time= 0.023481 Dt= 4.743e-4 Nodes=9 Cells=2 RMS ERR= 1.77e-14 MAX ERR= 1.84e-14 TIME ERR= 3.052e-5 MEM=427
 +00:00:00| Step 116 Time= 0.023956 Dt= 4.743e-4 Nodes=9 Cells=2 RMS ERR= 1.64e-14 MAX ERR= 1.68e-14 TIME ERR= 2.967e-5 MEM=427
 +00:00:00| Step 117 Time= 0.024430 Dt= 4.743e-4 Nodes=9 Cells=2 RMS ERR= 1.58e-14 MAX ERR= 1.61e-14 TIME ERR= 2.867e-5 MEM=427
 +00:00:00| Step 118 Time= 0.024904 Dt= 4.743e-4 Nodes=9 Cells=2 RMS ERR= 1.61e-14 MAX ERR= 1.61e-14 TIME ERR= 2.766e-5 MEM=427
 +00:00:00| Step 119 Time= 0.025437 Dt= 5.322e-4 Nodes=9 Cells=2 RMS ERR= 2.38e-14 MAX ERR= 2.38e-14 TIME ERR= 3.611e-5 MEM=427
 +00:00:00| Step 120 Time= 0.025969 Dt= 5.322e-4 Nodes=9 Cells=2 RMS ERR= 2.56e-14 MAX ERR= 2.60e-14 TIME ERR= 3.435e-5 MEM=428
 +00:00:00| Step 121 Time= 0.026501 Dt= 5.322e-4 Nodes=9 Cells=2 RMS ERR= 2.64e-14 MAX ERR= 2.67e-14 TIME ERR= 3.412e-5 MEM=428
 +00:00:00| Step 122 Time= 0.027033 Dt= 5.322e-4 Nodes=9 Cells=2 RMS ERR= 2.59e-14 MAX ERR= 2.61e-14 TIME ERR= 3.319e-5 MEM=428
 +00:00:00| Step 123 Time= 0.027565 Dt= 5.322e-4 Nodes=9 Cells=2 RMS ERR= 2.59e-14 MAX ERR= 2.62e-14 TIME ERR= 3.207e-5 MEM=428
 +00:00:00| Step 124 Time= 0.028098 Dt= 5.322e-4 Nodes=9 Cells=2 RMS ERR= 2.41e-14 MAX ERR= 2.41e-14 TIME ERR= 3.094e-5 MEM=428
 +00:00:00| Step 125 Time= 0.028695 Dt= 5.972e-4 Nodes=9 Cells=2 RMS ERR= 3.69e-14 MAX ERR= 3.69e-14 TIME ERR= 4.041e-5 MEM=428
 +00:00:00| Step 126 Time= 0.029292 Dt= 5.972e-4 Nodes=9 Cells=2 RMS ERR= 4.09e-14 MAX ERR= 4.09e-14 TIME ERR= 3.844e-5 MEM=428
 +00:00:00| Step 127 Time= 0.029889 Dt= 5.972e-4 Nodes=9 Cells=2 RMS ERR= 4.30e-14 MAX ERR= 4.35e-14 TIME ERR= 3.820e-5 MEM=428
 +00:00:00| Step 128 Time= 0.030486 Dt= 5.972e-4 Nodes=9 Cells=2 RMS ERR= 4.16e-14 MAX ERR= 4.16e-14 TIME ERR= 3.715e-5 MEM=428
 +00:00:00| Step 129 Time= 0.031083 Dt= 5.972e-4 Nodes=9 Cells=2 RMS ERR= 4.17e-14 MAX ERR= 4.24e-14 TIME ERR= 3.591e-5 MEM=428
 +00:00:00| Step 130 Time= 0.031681 Dt= 5.972e-4 Nodes=9 Cells=2 RMS ERR= 4.01e-14 MAX ERR= 4.07e-14 TIME ERR= 3.465e-5 MEM=428
 +00:00:00| Step 131 Time= 0.032351 Dt= 6.700e-4 Nodes=9 Cells=2 RMS ERR= 5.92e-14 MAX ERR= 5.92e-14 TIME ERR= 4.526e-5 MEM=428
