FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/V3 Rocket Optimization.pde  11:01:49 1/9/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 55 Time= 0.472799 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.07e-16 MAX ERR= 1.12e-16 TIME ERR= 0.001514 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 56 Time= 0.495312 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.06e-16 MAX ERR= 1.08e-16 TIME ERR= 0.001511 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 57 Time= 0.517826 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.04e-16 MAX ERR= 1.08e-16 TIME ERR= 0.001510 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 58 Time= 0.540340 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.05e-16 MAX ERR= 1.09e-16 TIME ERR= 0.001510 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 59 Time= 0.562854 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.87e-17 MAX ERR= 9.91e-17 TIME ERR= 0.001510 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 60 Time= 0.585367 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.67e-17 MAX ERR= 9.93e-17 TIME ERR= 0.001511 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 61 Time= 0.607881 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.76e-17 MAX ERR= 9.19e-17 TIME ERR= 0.001514 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 62 Time= 0.630395 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.17e-17 MAX ERR= 9.84e-17 TIME ERR= 0.001517 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 63 Time= 0.652908 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.86e-17 MAX ERR= 1.06e-16 TIME ERR= 0.001520 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 64 Time= 0.675422 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.01e-16 MAX ERR= 1.08e-16 TIME ERR= 0.001524 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 65 Time= 0.697936 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.07e-16 MAX ERR= 1.14e-16 TIME ERR= 0.001529 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 66 Time= 0.720450 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.08e-16 MAX ERR= 1.12e-16 TIME ERR= 0.001535 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 67 Time= 0.742963 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.12e-16 MAX ERR= 1.18e-16 TIME ERR= 0.001541 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 68 Time= 0.765477 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.13e-16 MAX ERR= 1.19e-16 TIME ERR= 0.001548 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 69 Time= 0.787991 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.17e-16 MAX ERR= 1.22e-16 TIME ERR= 0.001555 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 70 Time= 0.810504 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.16e-16 MAX ERR= 1.22e-16 TIME ERR= 0.001562 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 71 Time= 0.833018 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.19e-16 MAX ERR= 1.25e-16 TIME ERR= 0.001571 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 72 Time= 0.855532 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.23e-16 MAX ERR= 1.32e-16 TIME ERR= 0.001579 Lanczos/BInv=(13) MEM(KiB)=8026 
