FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/tempflexfile.pde  10:04:12 1/11/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 80 Time= 0.925872 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.05e-16 MAX ERR= 2.20e-16 TIME ERR= 0.001033 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 81 Time= 0.946301 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.00e-16 MAX ERR= 2.13e-16 TIME ERR= 9.977e-4 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 82 Time= 0.966730 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.99e-16 MAX ERR= 2.12e-16 TIME ERR= 9.647e-4 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 83 Time= 0.987160 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.94e-16 MAX ERR= 2.06e-16 TIME ERR= 9.336e-4 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 84 Time= 1.007589 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.96e-16 MAX ERR= 2.08e-16 TIME ERR= 9.042e-4 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 85 Time= 1.028018 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.97e-16 MAX ERR= 2.09e-16 TIME ERR= 8.763e-4 Lanczos/BInv=(13) MEM(KiB)=5513 
 +00:00:00| Step 86 Time= 1.048448 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.99e-16 MAX ERR= 2.09e-16 TIME ERR= 8.499e-4 Lanczos/BInv=(13) MEM(KiB)=5513 
 +00:00:00| Step 87 Time= 1.068877 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.02e-16 MAX ERR= 2.11e-16 TIME ERR= 8.248e-4 Lanczos/BInv=(13) MEM(KiB)=5513 
 +00:00:00| Step 88 Time= 1.089306 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.06e-16 MAX ERR= 2.14e-16 TIME ERR= 8.010e-4 Lanczos/BInv=(13) MEM(KiB)=5513 
 +00:00:00| Step 89 Time= 1.114843 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.11e-16 MAX ERR= 2.17e-16 TIME ERR= 0.001401 Lanczos/BInv=(13) MEM(KiB)=5514 
 +00:00:00| Step 90 Time= 1.140380 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.16e-16 MAX ERR= 2.20e-16 TIME ERR= 0.001333 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 91 Time= 1.165916 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-16 MAX ERR= 2.21e-16 TIME ERR= 0.001368 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 92 Time= 1.191453 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-16 MAX ERR= 2.19e-16 TIME ERR= 0.001349 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 93 Time= 1.216990 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.20e-16 MAX ERR= 2.22e-16 TIME ERR= 0.001314 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 94 Time= 1.242526 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.22e-16 MAX ERR= 2.23e-16 TIME ERR= 0.001276 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 95 Time= 1.268063 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.20e-16 MAX ERR= 2.21e-16 TIME ERR= 0.001239 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 96 Time= 1.293600 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.15e-16 MAX ERR= 2.19e-16 TIME ERR= 0.001203 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 97 Time= 1.319136 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.16e-16 MAX ERR= 2.18e-16 TIME ERR= 0.001168 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 98 Time= 1.344673 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-16 MAX ERR= 2.18e-16 TIME ERR= 0.001135 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 99 Time= 1.370210 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-16 MAX ERR= 2.18e-16 TIME ERR= 0.001104 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 100 Time= 1.395746 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.22e-16 MAX ERR= 2.24e-16 TIME ERR= 0.001075 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 101 Time= 1.421283 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.19e-16 MAX ERR= 2.23e-16 TIME ERR= 0.001047 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 102 Time= 1.446820 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-16 MAX ERR= 2.23e-16 TIME ERR= 0.001020 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 103 Time= 1.472356 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-16 MAX ERR= 2.23e-16 TIME ERR= 9.945e-4 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 104 Time= 1.497893 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.23e-16 MAX ERR= 2.27e-16 TIME ERR= 9.702e-4 Lanczos/BInv=(13) MEM(KiB)=5515 
 +00:00:00| Step 105 Time= 1.523430 Dt= 0.025537 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.25e-16 MAX ERR= 2.29e-16 TIME ERR= 9.470e-4 Lanczos/BInv=(13) MEM(KiB)=5515 
