FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA2\DA2 Grady.pde  21:31:50 2/7/24
Using 1 Thread(s)
 +00:00:01| Step 89 Time= 18.37582 Dt= 1.390030 Nodes=689 Cells=318 RMS ERR= 0.001378 MAX ERR= 0.001942 TIME ERR= 0.001074 MEM=3613
 +00:00:01| Step 90 Time= 19.76585 Dt= 1.390030 Nodes=689 Cells=318 RMS ERR= 0.001421 MAX ERR= 0.002013 TIME ERR= 3.932e-4 MEM=3613
 +00:00:01| Step 91 Time= 21.32549 Dt= 1.559639 Nodes=701 Cells=324 RMS ERR= 0.001571 MAX ERR= 0.001999 TIME ERR= 3.751e-4 MEM=3615
 +00:00:01| Step 92 Time= 23.07543 Dt= 1.749944 Nodes=701 Cells=324 RMS ERR= 0.001625 MAX ERR= 0.002060 TIME ERR= 8.124e-4 MEM=3615
 +00:00:01| Step 93 Time= 24.00000 Dt= 0.924566 Nodes=719 Cells=330 RMS ERR= 0.001139 MAX ERR= 0.001470 TIME ERR= 1.793e-4 MEM=3617
 +00:00:02| Step 94 Time= 25.96347 Dt= 1.963469 Nodes=719 Cells=330 RMS ERR= 0.001176 MAX ERR= 0.001547 TIME ERR= 0.001167 MEM=3619
 +00:00:02| Step 95 Time= 27.92694 Dt= 1.963469 Nodes=719 Cells=330 RMS ERR= 0.001231 MAX ERR= 0.001649 TIME ERR= 4.140e-4 MEM=3619
 +00:00:02| Step 96 Time= 30.12999 Dt= 2.203049 Nodes=719 Cells=330 RMS ERR= 0.001298 MAX ERR= 0.001751 TIME ERR= 2.346e-4 MEM=3619
 +00:00:02| Step 97 Time= 32.60185 Dt= 2.471861 Nodes=719 Cells=330 RMS ERR= 0.001374 MAX ERR= 0.001854 TIME ERR= 1.177e-4 MEM=3619
 +00:00:02| Step 98 Time= 36.00000 Dt= 3.398152 Nodes=715 Cells=328 RMS ERR= 0.004058 MAX ERR= 0.005523 TIME ERR= 2.424e-4 MEM=3619
 +00:00:02| Step 99 Time= 38.77347 Dt= 2.773474 Nodes=816 Cells=375 RMS ERR= 0.003281 MAX ERR= 0.004509 TIME ERR= 0.001002 MEM=3630
 +00:00:02| Step 100 Time= 41.88536 Dt= 3.111889 Nodes=816 Cells=375 RMS ERR= 0.003484 MAX ERR= 0.004906 TIME ERR= 0.002038 MEM=3630
 +00:00:02| Step 101 Time= 44.99725 Dt= 3.111889 Nodes=816 Cells=375 RMS ERR= 0.003816 MAX ERR= 0.005400 TIME ERR= 8.384e-4 MEM=3630
 +00:00:02| Step 102 Time= 48.00000 Dt= 3.002748 Nodes=816 Cells=375 RMS ERR= 0.004111 MAX ERR= 0.005827 TIME ERR= 2.837e-4 MEM=3630
 +00:00:02| Step 103 Time= 51.49160 Dt= 3.491597 Nodes=816 Cells=375 RMS ERR= 0.004459 MAX ERR= 0.006339 TIME ERR= 2.305e-4 MEM=3632
 +00:00:02| Step 104 Time= 55.40923 Dt= 3.917636 Nodes=816 Cells=375 RMS ERR= 0.004901 MAX ERR= 0.006993 TIME ERR= 2.001e-4 MEM=3632
 +00:00:02| Step 105 Time= 60.00000 Dt= 4.590767 Nodes=816 Cells=375 RMS ERR= 0.005531 MAX ERR= 0.007919 TIME ERR= 2.288e-4 MEM=3632
 +00:00:02| --DONE-- 21:31:52 2/7/24
